"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 19 21:54:11 CST 2021","Sun Dec 19 21:54:11 CST 2021","54","testcases.product_manage","test_product_api","TestProductApi","","","检查appid为空",""
"passed","Sun Dec 19 21:54:12 CST 2021","Sun Dec 19 21:54:12 CST 2021","215","testcases.product_manage","test_product_api","TestProductApi","","","test_delete_flag[caseinfo0]",""
"passed","Sun Dec 19 21:54:12 CST 2021","Sun Dec 19 21:54:12 CST 2021","238","testcases.product_manage","test_product_api","TestProductApi","","","test_select_flag[caseinfo0]",""
"passed","Sun Dec 19 21:54:11 CST 2021","Sun Dec 19 21:54:11 CST 2021","114","testcases.product_manage","test_product_api","TestProductApi","","","检查secret为空",""
"passed","Sun Dec 19 21:54:13 CST 2021","Sun Dec 19 21:54:13 CST 2021","12","testcases.user_manage","test_new_api","TestUserApi","","","test_base64[caseinfo0]",""
"passed","Sun Dec 19 21:54:13 CST 2021","Sun Dec 19 21:54:13 CST 2021","24","testcases.user_manage","test_new_api","TestUserApi","","","test_sign[caseinfo0]",""
"passed","Sun Dec 19 21:54:13 CST 2021","Sun Dec 19 21:54:13 CST 2021","15","testcases.user_manage","test_new_api","TestUserApi","","","test_md5[caseinfo0]",""
"passed","Sun Dec 19 21:54:12 CST 2021","Sun Dec 19 21:54:13 CST 2021","732","testcases.product_manage","test_product_api","TestProductApi","","","test_file_upload[caseinfo0]",""
"passed","Sun Dec 19 21:54:11 CST 2021","Sun Dec 19 21:54:12 CST 2021","280","testcases.product_manage","test_product_api","TestProductApi","","","test_create_flag[caseinfo0]",""
"passed","Sun Dec 19 21:54:11 CST 2021","Sun Dec 19 21:54:11 CST 2021","353","testcases.product_manage","test_product_api","TestProductApi","","","成功获取token鉴权码",""
"passed","Sun Dec 19 21:54:13 CST 2021","Sun Dec 19 21:54:13 CST 2021","219","testcases.user_manage","test_new_api","TestUserApi","","","test_new[caseinfo0]",""
